question,related_documents,answer
Как защититься от SQL-инъекций?,"Безопасность веб-приложений.md","нужно экранировать символы пользовательских данных при генерации SQL"
Как следует хранить пароль в базе данных?,"Сервис авторизации.md,Безопасность веб-приложений.md","Хранить пароль в захешированном виде, причем для шифрования должны использоваться криптографические хэш-функции, например, SHA256,SHA512, RipeMD. Для надежности следует использовать соль на основе пользовательских данных"
Какой инструмент использовать для нагрузочного тестирования?,"Тестирование на Python.md, Locust.md","Для нагрузочного тестирования можно использовать минималистичный фреймворк Locust"
Для чего нужен сервисный уровень в приложении?,"Сервисный уровень (Service).md","Необходим для отделения логики инфраструктуры от предметной области. Service Layer определяет четкий API взаимодействия с бизнесом, входные точки и варианты использования."
Какие инструменты можно использовать для профилирования приложения на Golang?,"Оптимизация в Go.md","Можно использовать профилировщик pprof и трейсер trace"
Какие операции можно выполнять без блокировки GIL?,"GIL.md","Операции ввода-вывода в отдельном потоке не будут блокировать GIL, например, использование библиотеки requests. А также некоторые низкоуровневые библиотеки, работающие на чистом C"
С помощью каких библиотек можно выполнять лемматизацию?,"pymorphy.md, SpaCy.md, NLP (AITH).md","Библиотеки для лемматизации: spacy, pymorphy"
Что значит буква D в ACID?,"ACID.md","D означает Durability или Сохраняемость. Принцип гарантирует, что после фиксации транзакции в базе данных она постоянно сохраняется с помощью резервных копий и журналов транзакций. В случае сбоя эти механизмы могут использоваться для восстановления зафиксированных транзакций"
Что значит буква C в ACID?,"ACID.md","D означает Consistency или Согласованность. Означает, что различные утверждения относительно данных (инварианты) должны всегда оставаться справедливыми"
Как создать репозиторий для Cassandra в Feast?,"Feast.md","```bash\nfeast init test_repo -t cassandra\n```"
Где можно бесплатно деплоить пет-проекты?,"render.com.md","Сервис render.com"
Чем отличается RDD от Dataframe в Apache Spark?,"Apache Spark.md","RDD-коллекция, Dataframe-таблица с именованными столбцами"
Какие антипаттерны есть в микросервисной архитектуре?,"Микросервис.md","Антипаттерны: Распределенный монолит, Сущность как сервис"
Чем отличается REST от SOAP?,"REST.md","REST отличается от SOAP тем, что не является протоколом и стандартом."
В чем суть CAP-теоремы?,"CAP-теорема.md","В любой реализации распределённых вычислений возможно обеспечить не более двух из трёх следующих свойств: Consistency, Availability, Partition tolerance."
Откуда можно тянуть данные для отображения в Grafana?,"Grafana.md","Источники данных: Prometheus, Elasticsearch, Loki, PostgreSQL, MySQL, Azure Monitor"
Какие есть способы для создания пагинации в веб-приложениях?,"Пагинация в Web-приложениях.md","Способы: offset и KEYSET"